NÚM.,TOM,MOST.,NOM CIENTÍFIC A HCBPFQ,FAMÍLIA HCBPFQ,NOM CIENTÍFIC A FMPC 2005,FAMÍLIA FMPC 2005,Nom vulgar,Enllaç al Medi Natural del Bages,Comentaris,Amaga
336,5,1,Acer campestre,Aceráceas,Acer campestre,Aceràcies,Auró blanc,https://elmedinaturaldelbages.cat/species/auro-blanc-acer-campestre/,,
337,5,1,Acer Monspessulanum,Aceráceas,Acer monspessulanum,Aceràcies,Auró negre,https://elmedinaturaldelbages.cat/species/auro-negre-acer-monspessulanum/,,
335,5,1,Acer Cadevallii,Aceráceas,Acer opalus subsp. granatense,Aceràcies,Blada de fulla petita,https://elmedinaturaldelbages.cat/species/blada-acer-opalus/,,
338,5,1,Acer opulifolium,Aceráceas,Acer opalus subsp. opalus,Aceràcies,Blada de fulla gran,,,
66,2,1,Aceras antropophora,Orquidáceas,Orchis anthropophora,Orquidàcies,Flor de l'home penjat,https://elmedinaturaldelbages.cat/species/flor-de-lhome-penjat-aceras-anthropophorum/,,
503,9,1,Achillea ageratum ,Compuestas,Achillea ageratum ,Compostes,Agèrat,,,
504,9,1,Achillea Millefolium ,Compuestas,Achillea millefolium ,Compostes,Milfulles,https://elmedinaturaldelbages.cat/species/milfulles-achillea-millefolium/,,
505,9,1,Achillea odorata ,Compuestas,Achillea odorata ,Compostes,Camamilla (Achillea odorata),,,
268,5,1,Adonis autumnalis,Ranunculáceas,Adonis annua,Ranunculàcies,Ull de perdiu,https://elmedinaturaldelbages.cat/species/ull-de-perdiu-adonis-annua/,,
26,1,1,Aegilops ovata,Gramináceas,Aegilops geniculata ,Gramínies,Traiguera,https://elmedinaturaldelbages.cat/species/traiguera-blat-de-perdiu-blat-bord-aegilops-geniculata/,,
27,1,1,Aegilops triuncialis,Gramináceas,Aegilops triuncialis,Gramínies,Blat bord,https://elmedinaturaldelbages.cat/species/blat-bord-aegilops-triuncialis/,,
361,6,1,Agrimonia Eupatoria ,Rosáceas,Agrimonia eupatoria ,Rosàcies,Serverola,https://elmedinaturaldelbages.cat/species/serverola-agrimonia-agrimonia-eupatoria/,,
311,5,1,Agrostemma Githago,Cariofiláceas,Agrostemma githago,Cariofil·làcies,Niella,https://elmedinaturaldelbages.cat/species/niella-agrostemma-githago/,,
28,1,1,Agrostis alba,Gramináceas,Agrostis stolonifera,Gramínies,Agrostis blanca,,,
395,7,1,Ajuga Chamaepitys,Labiadas,Ajuga chamaepitys,Labiades,Iva artètica,https://elmedinaturaldelbages.cat/species/iva-artetica-ajuga-chamaepitys/,,
396,7,1,Ajuga reptans ,Labiadas,Ajuga reptans ,Labiades,Búgula,https://elmedinaturaldelbages.cat/species/bugula-ajuga-reptans/,,
465,7,1,Alkanna tinctoria,Borragináceas,Alkanna tinctoria,Boraginàcies,Pota de colom,https://elmedinaturaldelbages.cat/species/pota-de-colom-bolenc-roig-alkanna-tinctoria/,,
118,3,1,Alliaria officinalis,Crucíferas,Alliaria petiolata ,Crucíferes,Al·liària,https://elmedinaturaldelbages.cat/species/alliaria-allenc-alliaria-petiolata-a-officinalis/,,
48,1,1,Allium pallens,Liliáceas,Allium paniculatum subsp. pallens,Liliàcies,All paniculat (1),https://elmedinaturaldelbages.cat/species/all-paniculat-allium-paniculatum/,,
49,1,1,Allium paniculatum ,Liliáceas,Allium paniculatum subsp. paniculatum,Liliàcies,All paniculat (2),https://elmedinaturaldelbages.cat/species/all-paniculat-allium-paniculatum/,,
50,1,1,Allium roseum ,Liliáceas,Allium roseum ,Liliàcies,All rosat,https://elmedinaturaldelbages.cat/species/all-rosat-all-de-bruixa-allium-roseum/,,
47,1,1,Allium fallax,Liliáceas,Allium senescens subsp. montanum,Liliàcies,All colombí,https://elmedinaturaldelbages.cat/species/all-colombi-allium-senescens-ssp-montanum/,,
51,1,1,Allium sphaerocephalum,Liliáceas,Allium sphaerocephalon,Liliàcies,All vermell,https://elmedinaturaldelbages.cat/species/all-vermell-allium-sphaerocephalon/,,
178,3,1,Althaea hirsuta ,Malváceas,Althaea hirsuta ,Malvàcies,Malví hirsut,https://elmedinaturaldelbages.cat/species/malvi-hirsut-althaea-hirsuta/,,
119,3,1,Alyssum calycinum,Crucíferas,Alyssum alyssoides,Crucíferes,Herba de la ràbia menuda,https://elmedinaturaldelbages.cat/species/herba-de-la-rabia-menuda-alyssum-alyssoides/,,
120,3,1,Alyssum campestre,Crucíferas,Alyssum simplex,Crucíferes,Dauradella (Alyssum simplex),,,
115,2,1,Amarantus retroflexus,Amarantáceas,Amaranthus retroflexus subsp. retroflexus,Amarantàcies,Marxant,https://elmedinaturaldelbages.cat/species/marxant-amaranthus-retroflexus-subsp-retroflexus/,,
357,6,1,Amelanchier vulgaris,Pomáceas,Amelanchier ovalis,Rosàcies,Corner,https://elmedinaturaldelbages.cat/species/corner-amelanchier-ovalis/,,
67,2,1,Aceras piramidalis,Orquidáceas,Anacamptis pyramidalis,Orquidàcies,Flor caputxina,https://elmedinaturaldelbages.cat/species/flor-caputxina-anacamptis-pyramidalis/,,
506,9,1,Anacyclus clavatus ,Compuestas,Anacyclus clavatus ,Compostes,Panigroc,https://elmedinaturaldelbages.cat/species/panigroc-anacyclus-clavatus/,,
592,10,1,Anagallis arvensis ,Primuláceas,Anagallis arvensis ,Primulàcies,Morró (Anagallis arvensis),https://elmedinaturaldelbages.cat/species/morro-anagall-anagallis-arvensis/,,
593,10,1,Anagallis tenella ,Primuláceas,Anagallis tenella ,Primulàcies,Anagall d'aigua,,,
475,7,1,Lycopsis arvensis,Borragináceas,Anchusa arvensis,Boraginàcies,Agafallosos,,,
29,1,1,Andropogon distachyon,Gramináceas,Andropogon distachyos,Gramínies,Albellatge distaqui,,,
507,9,1,Andryala integrifolia ,Compuestas,Andryala integrifolia ,Compostes,Llongera integrifòlia,https://elmedinaturaldelbages.cat/species/andryala-integrifolia/,,
508,9,1,Andryala ragusina,Compuestas,Andryala ragusina,Compostes,Llongera,,,
279,5,3,Hepatica triloba (1),Ranunculáceas,Anemone hepatica (1),Ranunculàcies,Herba fetgera (1),https://elmedinaturaldelbages.cat/species/herba-fetgera-anemone-hepatica/,,
,5,3,Hepatica triloba (2),Ranunculáceas,Anemone hepatica (2),Ranunculàcies,Herba fetgera (2),https://elmedinaturaldelbages.cat/species/herba-fetgera-anemone-hepatica/,,
,5,3,Hepatica triloba (3),Ranunculáceas,Anemone hepatica (3),Ranunculàcies,Herba fetgera (3),https://elmedinaturaldelbages.cat/species/herba-fetgera-anemone-hepatica/,,
60,1,1,Phalangium Liliago,Liliáceas,Anthericum liliago,Liliàcies,Lliri de sant Bru,https://elmedinaturaldelbages.cat/species/lliri-de-sant-bru-anthericum-liliago/,,
33,1,1,Anthoxanthum odoratum,Gramináceas,Anthoxanthum odoratum,Gramínies,Gram d'olor,,,
187,4,1,Anthyllis montana ,Papilionáceas,Anthyllis montana ,Papilionàcies,Antil·lis de muntanya,https://elmedinaturaldelbages.cat/species/antillis-de-muntanya-anthyllis-montana/,,
229,4,1,Physanthyllis tetraphylla,Papilionáceas,Anthyllis tetraphylla ,Papilionàcies,Antil·lis de quatre fulles,,,
188,4,1,Anthyllis Vulneraria ,Papilionáceas,Anthyllis vulneraria,Papilionàcies,Vulnerària,https://elmedinaturaldelbages.cat/species/vulneraria-anthyllis-vulneraria-subsp-font-queri-a-vulneraria-subsp-gandogeri/,,
428,7,1,Antirrhinum majus,Escrofulariáceas,Antirrhinum majus,Escrofulariàcies,Conillets (Antirrhinum majus),https://elmedinaturaldelbages.cat/species/conillets-antirrhinum-majus/,,
429,7,1,Antirrhinum Orontium ,Escrofulariáceas,Antirrhinum orontium ,Escrofulariàcies,Gossets,https://elmedinaturaldelbages.cat/species/gossets-antirrhinum-orontium/,,
